ID	POPULACAO_TOTAL
1	1170
2	8553
3	17520
4	6890
5	19712
6	1942
7	1827
8	2414
9	26003
10	19136
11	29379
12	776
13	6019
14	27781
15	6156
16	26722
17	13804
18	5445
19	794
20	24424
21	1159
22	12128
23	42758
24	51776
25	31264
26	11644
27	16642
28	851
29	12385
30	94610
31	1588
32	1939
33	64478
34	36224
35	2851
36	10681
37	3345
38	30534
39	132
40	66708
41	65844
42	515
43	1519
44	1098
45	20504
46	9934
47	315
48	34778
49	39126
50	69608
51	13245
52	283
53	748
54	22589
55	6373
56	44413
57	19936
58	7714
59	2438
60	8134
61	13190
62	1074
63	66669
64	42953
65	30429
66	61439
67	30090
68	6724
69	2557
70	7032
71	3040
