ID	AREA
1	1610400
2	614130
3	4343810
4	8372800
5	7113960
6	23645450
7	72954800
8	159533330
9	6913070
10	190450
11	11895300
12	1091540
13	1811840
14	17074050
15	4397320
16	3758300
17	2956650
18	1310590
19	1059460
20	4398420
21	187838
22	2816620
23	586740
24	2091930
25	6362580
26	1288480
27	3941910
28	9563010
29	1005170
30	3100260
31	2461970
32	3081370
33	3146410
34	614692
35	2899550
36	1028890
37	13084760
38	609796
39	5829480
40	690952
41	17085007
42	2369100
43	3617250
44	1431130
45	672684
46	5268820
47	2956690
48	11770630
49	3444290
50	1599030
51	7023940
52	8540110
53	785986
54	1996790
55	471455
56	5215560
57	1379360
58	62042470
59	7880110
60	53304560
61	2008320
62	8305130
63	1490190
64	469498
65	325278
66	15128060
67	855664
68	795999
69	103349
70	8272630
71	6774020
72	870810
73	9094140
74	4988240
75	21703027
76	3763340
77	2809320
78	1564180
79	489859
80	38162040
81	15398720
82	28021440
83	3852290
84	107603660
85	562393
86	14410570
87	11832330
88	984365
89	19342250
90	7007737
91	1671420
92	450228
93	3312710
94	7173190
95	3363750
96	25384960
97	17423020
98	12599481
99	258598
100	326112
101	3823810
102	4114630
103	8246390
104	7021320
105	237746
106	1039070
107	278151
108	1076650
109	717665
110	1356120
111	10330210
112	457727
113	11591460
114	22887080
115	229517
116	537637
117	743474
118	1392460
119	1677250
120	84212850
121	479578
122	3168380
123	195927
124	705546
125	1279890
126	1110180
127	1632250
128	1298190
129	14419920
130	3517320
131	4430220
132	206412
133	1895880
134	5145360
135	934279
136	11991090
137	2512590
138	2086190
139	5088470
140	10791410
141	539085
142	4915070
143	3089540
144	3779350
