ID	AREA
1	445535.77
2	1457434.97
3	2965537.18
4	5051773.0
5	1226717.64
6	3759311.56
7	6843907.58
8	7519386.79
9	927538.50
10	1427103.94
11	1972917.27
12	6433548.53
13	2776779.05
14	1696729.77
15	1028070.54
16	2364371.80
17	777342.98
18	3482425.97
19	2879281.80
20	2117566.02
21	1299455.63
22	1257903.54
23	1708833.70
24	6864064.81
25	1475146.50
26	1537148.25
27	29766416.25
28	897298.92
29	618915.00
30	4175366.80
31	710061.34
32	2112567.15
33	2358215.92
34	6118967.77
35	4185424.06
36	6997995.12
37	3686545.77
38	1992248.89
39	2654162.31
40	5031826.44
41	4892342.76
42	1473826.70
43	2187298.06
44	505996.39
45	1513220.68
46	2531604.32
47	2255141.08
48	5586455.87
49	5096805.11
50	3683443.68
51	1276765.74
52	277396.30
53	550293.47
54	3284216.02
55	821708.22
56	2373269.32
57	1626307.10
58	1189804.51
59	2364078.69
60	5587524.05
61	4113028.44
62	7596748.42
63	9993490.81
64	2223212.35
65	6580588.99
66	2436550.85
67	2629543.36
68	888206.36
69	4573905.45
70	8764774.13
71	1445985.77
