id	POPULACAO_TOTAL
1	141054
2	6792
3	53605
4	35017
5	25061
6	52714
7	33665
8	105030
9	24771
10	471744
11	20493
12	40499
13	26579
14	15767
15	23855
16	36907
17	3434
18	99800
19	1392031
20	16324
21	51663
22	15246
23	13630
24	113165
25	17960
26	7324
27	52497
28	92865
29	25700
30	20460
31	26476
32	120904
33	26727
34	63628
35	51899
36	173096
37	21138
38	11382
39	45530
40	28221
41	10478
42	18295
43	28582
44	12262
45	34490
46	51318
47	31745
48	8181
49	17825
50	25051
51	30437
52	29060
53	35843
54	58023
55	10064
56	51383
57	31382
58	97343
59	51258
60	14040
61	51375
62	47123
63	25028
64	27892
65	8115
66	233462
67	28376
68	26605
69	108251
70	27442
71	24789
72	26745
73	69921
74	55459
75	34237
76	20159
77	14645
78	13660
79	25106
80	62124
81	49254
82	28595
83	62963
84	16296
85	27564
86	40052
87	7487
88	97788
89	153942
90	6029
91	7868
92	12703
93	23930
94	25989
95	52166
96	33951
97	29265
98	10268
99	12411
100	75505
101	17722
102	46974
103	40068
104	37430
105	20184
106	17154
107	8163
108	59476
109	19422
110	17198
111	23033
112	56132
113	294774
114	6145
115	26673
116	16891
117	23140
118	29827
119	91293
120	15196
121	25584
122	5265
123	20644
124	13149
125	51527
126	22890
127	5047
128	12998
129	22995
130	79299
131	10254
132	16952
133	56514
134	27466
135	16885
136	33651
137	97109
138	43345
139	44720
140	47902
141	56681
142	13480
143	40573
