BAIRRO	DISTRITO	AREA	ID	POPULACAO_MASCULINA	POPULACAO_FEMININA	POPULACAO_TOTAL	RAZAO_DO_SEXO	RAZAO_DE_DEPENDENCIA	INDICE_DE_ENVELHECIMENTO	DOMICILIOS_PARTICULARES	MORADORES_DOMICILIOS_PARTICULARES	DOMICILIO_QUITADO	DOMICILIO_EM_AQUISICAO	DOMICILIO_ALUGADO	DOMICILIO_CEDIDO_POR_EMPREGADOR	DOMICILIO_CEDIDO_DE_OUTRA_FORMA	DOMICILIO_OUTRAS_CONDICOES	ABASTECIMENTO_TOTAL	ABASTECIMENTO_POR_REDE_GERAL	ABASTECIMENTO_POR_POCO	ABASTECIMENTO_POR_OUTROS	DOMICILIOS_COM_BANHEIRO	DOMICILIOS_SEM_BANHEIRO	POPULACAO_ALFABETIZADA	POPULACAO_NAO-ALFABETIZADA	OCORRENCIAS_POR_BAIRRO
Aeroporto	DAMOS	445535.77	71	584	586	1170	97.36	60.60	10.31	321	1170	265	0	26	9	20	1	275	44	216	15	313	0	847	157	0
Agua_Negra	DAOUT	1457434.97	52	4265	4288	8553	100.92	62.79	10.73	2379	8545	1931	41	239	22	134	12	1446	742	596	108	2254	56	3973	96	0
Aguas_Lindas	DAENT	2965537.18	32	8639	8881	17520	96.78	64.30	8.55	4715	17513	3939	83	477	12	163	41	2720	20	2355	345	4293	133	7980	1321	0
Aguas_Negras	DAICO	5051773.0	37	3382	3508	6890	99.60	58.03	4.15	1841	6888	1522	31	242	9	36	1	1487	145	1136	206	1696	32	4939	849	0
Agulha	DAICO	1226717.64	46	9576	10136	19712	95.59	54.37	8.08	5164	19704	3895	173	866	10	196	24	4198	1366	2735	97	4802	51	14409	1868	0
Ariramba	DAMOS	3759311.56	66	951	991	1942	101.08	73.53	9.56	519	1942	383	1	31	47	55	2	447	193	215	39	506	0	1270	313	0
Aura	DAENT	6843907.58	30	918	909	1827	99.11	69.31	7.93	516	1827	430	18	38	3	27	0	401	227	151	23	391	38	1076	257	0
Baia_do_Sol	DAMOS	7519386.79	62	1247	1167	2414	103.11	68.22	5.27	589	2414	506	1	14	33	35	0	489	227	234	28	547	12	1666	433	0
Barreiro	DASAC	927538.50	27	12700	13303	26003	99.28	58.22	12.24	6301	25999	5435	26	683	3	150	4	5085	4777	165	143	5534	148	18172	3381	0
Batista_Campos	DABEL	1427103.94	15	8265	10871	19136	75.88	38.76	7.87	5787	19051	3974	255	1401	23	121	13	5138	4406	708	24	5766	0	17844	527	64
Bengui	DABEN	1972917.27	25	14017	15362	29379	95.59	52.17	46.98	7592	29379	6210	49	1078	13	237	5	6137	4063	1884	190	7290	120	22123	2939	3
