id	rate
1000	5.1
1001	4.9
1002	8.6
1003	6.2
1004	5.1
1005	7.1
1006	6.7
1007	6.1
1008	5.0
1009	5.0
1010	5.2
1011	7.9
1012	11.1
1013	5.9
1014	5.5
1015	5.6
1016	6.5
1017	7.7
1018	5.7
1019	6.7
1020	5.7
1021	4.8
1022	5.6
1023	9.5
1024	5.7
1025	4.7
1026	6.3
1027	5.7
1028	6.6
1029	5.5
1030	5.4
1031	9.3
1032	7.6
1033	6.3
1034	5.6
1035	5.9
1036	5.5
1037	5.2
1038	6.0
1039	6.4
1040	4.9
1041	5.0
1042	10.3
1043	7.2
1044	4.9
1045	6.9
1046	6.1
1047	5.1
1048	6.5
1049	8.6
1050	5.6
1051	5.2
1052	10.9
1053	6.7
1054	6.4
1055	5.7
1056	5.3
1057	5.0
1058	4.2
1059	7.3
1060	6.4
1061	5.1
1062	5.5
1063	7.2
1064	8.3
1065	13.9
1066	7.0
1067	1.9
1068	2.2
1069	5.0
1070	14.1
