ID	ANO_2012	ANO_2013	ANO_2014	ANO_2015	ANO_2016
1	4815960	4829479	4843214	4853875	4863300
2	55027	54792	54977	55035	55416
3	190403	195147	199745	203690	208563
4	27132	26938	26763	26270	25965
5	22645	22501	22511	22561	22643
6	57772	57746	57621	57676	57704
7	10654	10576	10712	10455	10362
8	20665	20330	20283	20126	19998
9	117208	116475	115837	115285	114611
10	34084	34123	33996	34043	33843
11	26017	26074	25944	25726	25725
12	43693	43769	43874	43809	43941
13	13549	13384	13310	13201	12993
14	25148	25105	24862	24726	24392
15	13461	13464	13503	13495	13492
16	14928	15031	15076	14996	14924
17	51180	50729	50757	51063	51226
18	54493	54456	54427	54295	54216
19	13007	12866	12621	12597	12395
20	11201	11058	10794	10687	10581
21	37842	37890	37795	37661	37458
22	13920	13874	13898	13876	13913
23	80351	80731	81167	81858	82471
24	50296	49753	49389	49370	49226
25	42748	41950	41532	40893	40008
26	70961	70882	70947	70996	70900
27	80291	80661	80794	81238	81799
28	38063	37877	37878	37827	37728
29	104215	103790	103371	102873	102564
30	16966	16858	16821	16723	16546
31	31652	31505	31540	31542	31628
32	27012	26754	26688	26755	26614
33	8837	8702	8525	8450	8422
34	15393	15293	15081	15075	14952
35	17237	17188	17156	17191	17164
36	103382	103614	104177	104225	104056
37	53087	52939	52580	52298	52138
38	657639	658578	659733	660007	659521
39	14257	14192	14062	13902	13918
40	92694	92713	93005	92477	92318
41	33788	33570	33432	33133	33244
42	148289	151411	154277	156767	158991
43	87368	88904	90640	91622	92753
44	10835	10685	10524	10422	10358
45	20632	20016	19594	19215	18963
46	342773	346704	350121	353302	356967
47	20451	20208	20086	19912	19673
48	30520	30283	30250	30145	29998
49	94182	94318	94320	94693	95157
50	413760	413884	414342	414634	414836
51	22593	22154	21902	21697	21530
52	228708	227841	227193	226868	226349
53	120123	119652	119602	119387	119012
54	10184	9995	9842	9683	9574
55	19359	19370	20332	20827	20324
56	33113	33592	33020	33376	33286
57	22623	22629	22468	22703	22652
58	57626	59240	59282	58858	58172
59	85168	86225	86482	86986	88019
60	200789	203825	205990	208527	210622
61	13448	13409	13283	13244	13040
62	81941	81277	81216	80749	80103
63	41144	41139	41027	40755	40727
64	198581	200681	202671	204321	206102
65	66211	65934	65564	65291	64967
66	17115	16881	16891	16901	16756
67	11355	11194	11028	11030	10986
68	24171	24150	24083	23854	23805
69	731089	736879	736705	737709	741894
70	3285	3302	3296	3317	3296
71	5688	5715	5780	5739	5647
